exp_id,timestamp,method,dataset,sampling_method,trunc_ratio,mean_best_test_auc,std_best_test_auc,n_runs,local_epochs
exp_20260315_181423,20260315_181423,gcn,ogbn-proteins,random_node,0.2,0.7357110880929635,0.0083564761970124,5,
exp_20260315_210825,20260315_210825,sgcn,ogbn-proteins,random_node,0.2,0.6357094813192182,0.0110275379396028,3,
exp_20260316_133659,20260316_133659,sage,ogbn-proteins,random_node,0.2,0.8060457885640377,0.0035025778348037,3,
exp_20260316_150158,20260316_150158,gcn,ogbn-proteins,random_node,0.2,0.7352915963330001,0.0081338129584414,3,
exp_20260316_190927,20260316_190927,sgcn,ogbn-proteins,random_node,0.2,0.6595038293390919,0.0060952650848592,3,
exp_20260317_144241,20260317_144241,graphsaint,ogbn-proteins,random_node,0.2,0.7084841706152586,0.0171244480999418,3,
exp_20260426_160035,20260426_160035,sgcn,ogbn-proteins,random_node,0.2,0.7035796958953303,,1,3.0
exp_20260426_165011,20260426_165011,sgcn,ogbn-proteins,random_node,0.2,0.7031720664679219,,1,3.0
exp_20260426_182758,20260426_182758,sgcn,ogbn-proteins,random_node,0.1,0.7031024256809992,0.0023991629277221,3,3.0
exp_20260426_185125,20260426_185125,sgcn,ogbn-proteins,snowball,0.1,0.6933422269442799,,1,3.0
exp_20260426_190636,20260426_190636,sgcn,ogbn-proteins,random_walk,0.1,0.6954131471199145,,1,3.0
exp_20260426_201023,20260426_201023,sgcn,ogbn-proteins,random_edge,0.1,0.6703206422919529,,1,3.0
